2025-09-25 18:43:01,097 | INFO | MindmapClusteringSystem | clustering_system.py:33 | Detected language: English
2025-09-25 18:43:01,097 | INFO | MindmapClusteringSystem | clustering_system.py:34 | 📝 Processed 65 text segments
2025-09-25 18:43:01,097 | INFO | MindmapClusteringSystem | clustering_system.py:40 | 🔢 Generating embeddings...
2025-09-25 18:43:01,472 | INFO | MindmapClusteringSystem | clustering_system.py:44 | 🎯 Applying dynamic clustering...
2025-09-25 18:43:42,271 | INFO | MindmapClusteringSystem | clustering_system.py:33 | Detected language: English
2025-09-25 18:43:42,271 | INFO | MindmapClusteringSystem | clustering_system.py:34 | 📝 Processed 65 text segments
2025-09-25 18:43:42,271 | INFO | MindmapClusteringSystem | clustering_system.py:40 | 🔢 Generating embeddings...
2025-09-25 18:43:42,609 | INFO | MindmapClusteringSystem | clustering_system.py:44 | 🎯 Applying dynamic clustering...
2025-09-25 18:44:06,292 | INFO | MindmapClusteringSystem | clustering_system.py:33 | Detected language: English
2025-09-25 18:44:06,292 | INFO | MindmapClusteringSystem | clustering_system.py:34 | 📝 Processed 65 text segments
2025-09-25 18:44:06,292 | INFO | MindmapClusteringSystem | clustering_system.py:40 | 🔢 Generating embeddings...
2025-09-25 18:45:47,674 | INFO | MindmapClusteringSystem | clustering_system.py:33 | Detected language: Arabic
2025-09-25 18:45:47,675 | INFO | MindmapClusteringSystem | clustering_system.py:34 | 📝 Processed 65 text segments
2025-09-25 18:45:47,675 | INFO | MindmapClusteringSystem | clustering_system.py:40 | 🔢 Generating embeddings...
2025-09-25 19:22:21,494 | INFO | MindmapClusteringSystem | clustering_system.py:33 | Detected language: Arabic
2025-09-25 19:22:21,495 | INFO | MindmapClusteringSystem | clustering_system.py:34 | 📝 Processed 65 text segments
2025-09-25 19:22:21,495 | INFO | MindmapClusteringSystem | clustering_system.py:40 | 🔢 Generating embeddings...
2025-09-25 19:22:23,827 | INFO | MindmapClusteringSystem | clustering_system.py:44 | 🎯 Applying dynamic clustering...
2025-09-25 19:23:36,266 | INFO | MindmapClusteringSystem | clustering_system.py:33 | Detected language: Arabic
2025-09-25 19:23:36,266 | INFO | MindmapClusteringSystem | clustering_system.py:34 | 📝 Processed 65 text segments
2025-09-25 19:23:36,266 | INFO | MindmapClusteringSystem | clustering_system.py:40 | 🔢 Generating embeddings...
2025-09-25 19:23:36,624 | INFO | MindmapClusteringSystem | clustering_system.py:44 | 🎯 Applying dynamic clustering...
2025-09-25 19:27:42,292 | INFO | MindmapClusteringSystem | clustering_system.py:33 | Detected language: Arabic
2025-09-25 19:27:42,292 | INFO | MindmapClusteringSystem | clustering_system.py:34 | 📝 Processed 65 text segments
2025-09-25 19:27:42,292 | INFO | MindmapClusteringSystem | clustering_system.py:40 | 🔢 Generating embeddings...
2025-09-25 19:27:42,614 | INFO | MindmapClusteringSystem | clustering_system.py:44 | 🎯 Applying dynamic clustering...
2025-09-25 19:28:05,744 | INFO | MindmapClusteringSystem | clustering_system.py:33 | Detected language: Arabic
2025-09-25 19:28:05,744 | INFO | MindmapClusteringSystem | clustering_system.py:34 | 📝 Processed 65 text segments
2025-09-25 19:28:05,744 | INFO | MindmapClusteringSystem | clustering_system.py:40 | 🔢 Generating embeddings...
2025-09-25 19:28:06,047 | INFO | MindmapClusteringSystem | clustering_system.py:44 | 🎯 Applying dynamic clustering...
